Date,Open,High,Low,Close,Adj Close,Volume
17/04/2023,165.089996,165.389999,164.029999,165.229996,164.352737,41516200
18/04/2023,166.100006,167.410004,165.649994,166.470001,165.586151,49923000
19/04/2023,165.800003,168.160004,165.539993,167.630005,166.740005,47720200
20/04/2023,166.089996,167.869995,165.559998,166.649994,165.765198,52456400
21/04/2023,165.050003,166.449997,164.490005,165.020004,164.14386,58337300
24/04/2023,165,165.600006,163.889999,165.330002,164.452194,41949600
25/04/2023,165.190002,166.309998,163.729996,163.770004,162.900482,48714100
26/04/2023,163.059998,165.279999,162.800003,163.759995,162.890533,45498800
27/04/2023,165.190002,168.559998,165.190002,168.410004,167.515854,64902300
28/04/2023,168.490005,169.850006,167.880005,169.679993,168.779114,55209200
01/05/2023,169.279999,170.449997,168.639999,169.589996,168.689575,52472900
02/05/2023,170.089996,170.350006,167.539993,168.539993,167.645157,48425700
03/05/2023,169.5,170.919998,167.160004,167.449997,166.560959,65136000
04/05/2023,164.889999,167.039993,164.309998,165.789993,164.90976,81235400
05/05/2023,170.979996,174.300003,170.759995,173.570007,172.648468,113316400
08/05/2023,172.479996,173.850006,172.110001,173.5,172.578827,55962800
09/05/2023,173.050003,173.539993,171.600006,171.770004,170.858017,45326900
10/05/2023,173.020004,174.029999,171.899994,173.559998,172.638504,53724500
11/05/2023,173.850006,174.589996,172.169998,173.75,172.827499,49514700
12/05/2023,173.619995,174.059998,171,172.570007,171.89119,45497800
15/05/2023,173.160004,173.210007,171.470001,172.070007,171.393173,37266700
16/05/2023,171.990005,173.139999,171.800003,172.070007,171.393173,42110300
17/05/2023,171.710007,172.929993,170.419998,172.690002,172.010727,57951600
18/05/2023,173,175.240005,172.580002,175.050003,174.36145,65496700
19/05/2023,176.389999,176.389999,174.940002,175.160004,174.471008,55772400
22/05/2023,173.979996,174.710007,173.449997,174.199997,173.514786,43570900
23/05/2023,173.130005,173.380005,171.279999,171.559998,170.885178,50747300
24/05/2023,171.089996,172.419998,170.520004,171.839996,171.164063,45143500
25/05/2023,172.410004,173.899994,171.690002,172.990005,172.30954,56058300
26/05/2023,173.320007,175.770004,173.110001,175.429993,174.739944,54835000
30/05/2023,176.960007,178.990005,176.570007,177.300003,176.602585,55964400
31/05/2023,177.330002,179.350006,176.759995,177.25,176.55278,99625300
01/06/2023,177.699997,180.119995,176.929993,180.089996,179.381607,68901800
02/06/2023,181.029999,181.779999,179.259995,180.949997,180.238235,61945900
05/06/2023,182.630005,184.949997,178.039993,179.580002,178.873627,121946500
06/06/2023,179.970001,180.119995,177.429993,179.210007,178.505096,64848400
07/06/2023,178.440002,181.210007,177.320007,177.820007,177.120544,61944600
08/06/2023,177.899994,180.839996,177.460007,180.570007,179.859726,50214900
09/06/2023,181.5,182.229996,180.630005,180.960007,180.248199,48870700
12/06/2023,181.270004,183.889999,180.970001,183.789993,183.067062,54274900
13/06/2023,182.800003,184.149994,182.440002,183.309998,182.588943,54929100
14/06/2023,183.369995,184.389999,182.020004,183.949997,183.226425,57462900
15/06/2023,183.960007,186.520004,183.779999,186.009995,185.27832,65433200
16/06/2023,186.729996,186.990005,184.270004,184.919998,184.192612,101235600
20/06/2023,184.410004,186.100006,184.410004,185.009995,184.282257,49799100
21/06/2023,184.899994,185.410004,182.589996,183.960007,183.236389,49515700
22/06/2023,183.740005,187.050003,183.669998,187,186.264435,51245300
23/06/2023,185.550003,187.559998,185.009995,186.679993,185.945679,53079300
26/06/2023,186.830002,188.050003,185.229996,185.270004,184.541245,48088700
27/06/2023,185.889999,188.389999,185.669998,188.059998,187.320251,50730800
28/06/2023,187.929993,189.899994,187.600006,189.25,188.505569,51216800
29/06/2023,189.080002,190.070007,188.940002,189.589996,188.844238,46347300
30/06/2023,191.630005,194.479996,191.259995,193.970001,193.207016,85069600
